Date/Time,Lat,Lon,Base,locationID
2014-04-09 10:21:00,40.8021,-73.9654,B02598,
2014-04-14 04:55:00,40.6462,-73.7769,B02764,
2014-04-23 09:52:00,40.7747,-73.9603,B02598,
2014-04-04 23:32:00,40.715,-74.0157,B02682,
2014-04-05 19:57:00,40.7335,-74.008,B02598,
2014-04-11 17:48:00,40.7329,-73.99,B02598,
2014-04-15 20:58:00,40.7272,-73.9887,B02617,
2014-04-25 09:32:00,40.6897,-73.9704,B02512,
2014-04-26 22:23:00,40.7396,-73.9891,B02682,
2014-04-15 17:46:00,40.7806,-73.9872,B02512,
2014-04-15 16:54:00,40.7555,-73.9762,B02682,
2014-04-05 07:48:00,40.7057,-74.0082,B02512,
2014-04-04 22:58:00,40.7171,-74.0094,B02617,
2014-04-04 22:08:00,40.7393,-74.0015,B02598,
2014-04-05 23:45:00,40.7395,-73.9852,B02682,
2014-04-30 15:35:00,40.7564,-73.9668,B02617,
2014-04-30 20:50:00,40.7197,-74.0472,B02617,
2014-04-13 10:39:00,40.7256,-74.0056,B02682,
2014-04-03 17:05:00,40.7566,-73.9974,B02598,
2014-04-08 07:32:00,40.7756,-73.9901,B02682,
2014-04-06 23:12:00,40.7596,-73.9871,B02598,
2014-04-29 17:35:00,40.7224,-74.0038,B02682,
2014-04-28 08:30:00,40.7747,-73.99,B02617,
2014-04-04 12:02:00,40.7463,-73.993,B02512,
2014-04-13 15:12:00,40.6191,-73.9328,B02682,
2014-04-26 00:58:00,40.8698,-73.8604,B02598,
2014-04-10 09:04:00,40.7598,-73.996,B02682,
2014-04-05 14:44:00,40.7602,-73.9773,B02764,
2014-04-06 01:21:00,40.7394,-74.0068,B02598,
2014-04-07 19:14:00,40.7558,-73.9834,B02682,
2014-04-16 08:12:00,40.7606,-73.9917,B02682,
2014-04-03 20:12:00,40.7766,-73.9555,B02617,
2014-04-18 08:37:00,40.7386,-73.9976,B02682,
2014-04-03 13:08:00,40.7637,-73.9751,B02598,
2014-04-25 04:55:00,40.7457,-73.9936,B02598,
2014-04-17 11:16:00,40.781,-73.9593,B02512,
2014-04-23 19:59:00,40.6006,-74.0757,B02598,
2014-04-25 19:17:00,40.7161,-73.9641,B02682,
2014-04-03 18:46:00,40.7398,-73.9911,B02682,
2014-04-30 15:16:00,40.7579,-73.9733,B02512,
2014-04-15 07:21:00,40.6897,-73.9723,B02617,
2014-04-30 19:20:00,40.7649,-73.9691,B02617,
2014-04-07 17:18:00,40.7817,-73.981,B02682,
2014-04-15 16:29:00,40.7646,-73.9808,B02682,
2014-04-17 16:46:00,40.7378,-73.9804,B02512,
2014-04-23 15:06:00,40.7343,-73.9917,B02682,
2014-04-29 15:26:00,40.7603,-73.9738,B02598,
2014-04-22 16:37:00,40.7639,-73.9962,B02682,
2014-04-19 07:46:00,40.661,-73.9604,B02682,
2014-04-04 21:35:00,40.7403,-73.9923,B02598,
2014-04-30 18:47:00,40.7219,-73.9865,B02512,
2014-04-02 16:04:00,40.7691,-73.9878,B02512,
2014-04-28 11:19:00,40.747,-73.9927,B02682,
2014-04-09 16:05:00,40.7407,-73.987,B02598,
2014-04-29 20:12:00,40.7172,-73.9597,B02682,
2014-04-04 17:28:00,40.7275,-74.0071,B02598,
2014-04-13 10:26:00,40.7684,-73.8676,B02598,
2014-04-17 19:57:00,40.7203,-74.0085,B02682,
2014-04-22 20:35:00,40.7417,-74.0036,B02764,
2014-04-19 23:46:00,40.7192,-74.0052,B02512,
2014-04-02 15:14:00,40.6432,-73.9753,B02682,
2014-04-20 17:54:00,40.7616,-73.9749,B02617,
