iter	Logloss
0	0.4564055407
1	0.303318434
2	0.2048065187
3	0.1501002246
4	0.1144017911
5	0.09495497547
6	0.07736597774
7	0.06746447123
8	0.06037036831
9	0.0568698725
10	0.05347663272
11	0.05039249124
12	0.04875274214
13	0.04718698077
14	0.04623496706
15	0.04523271604
16	0.04467305961
17	0.04392759292
18	0.04365667435
19	0.04334492723
20	0.04314837486
21	0.04274614735
22	0.04240854136
23	0.04219224438
24	0.04206748732
25	0.04196346876
26	0.04171656275
27	0.04161568605
28	0.04155110664
29	0.0414631367
30	0.04144215043
31	0.04136139737
32	0.04132698351
33	0.04130896611
34	0.04120618461
35	0.04117808875
36	0.0411469268
37	0.04113857422
38	0.04111479445
39	0.04109431166
40	0.04102756445
41	0.040975605
42	0.04092842613
43	0.04091925253
44	0.04087334825
45	0.04086550294
46	0.04084860634
47	0.04083831753
48	0.04080818681
49	0.04079274589
50	0.04074729649
51	0.04072405746
52	0.04070407632
53	0.04069127148
54	0.04068420873
55	0.04067779642
56	0.04067442981
57	0.04066764595
58	0.04066316284
59	0.04065424666
60	0.04061921469
61	0.04061145407
62	0.04059946299
63	0.04055583518
64	0.04054897916
65	0.0405275016
66	0.04051094596
67	0.04048422125
68	0.04046573537
69	0.04045142333
70	0.04044577806
71	0.04043750477
72	0.04043001078
73	0.04041946538
74	0.04041349797
75	0.04040787134
76	0.04039839275
77	0.04039342703
78	0.04038438104
79	0.04037322468
80	0.04036546132
81	0.04035913109
82	0.04034533495
83	0.04033417186
84	0.04033008231
85	0.04032508756
86	0.04031135482
87	0.04030439974
88	0.0402981557
89	0.0402944795
90	0.04027856829
91	0.04026838002
92	0.04026175114
93	0.04025866803
94	0.04025290105
95	0.04024624342
96	0.04024313345
97	0.04023789248
98	0.04023646637
99	0.04022849461
100	0.04022232809
101	0.04021532317
102	0.04020650756
103	0.04019906657
104	0.04018699215
105	0.04018473413
106	0.04017448175
107	0.04016777559
108	0.04016433086
109	0.04015681036
110	0.04015359601
111	0.04015160388
112	0.04014743179
113	0.04014337994
114	0.04013145685
115	0.04012890528
116	0.04012611217
117	0.04011939254
118	0.04010853409
119	0.04010543571
120	0.04009236354
121	0.0400863944
122	0.04008197717
123	0.0400696197
124	0.04006849896
125	0.04006625579
126	0.04005656705
127	0.04005209562
128	0.04004690647
129	0.0400452874
130	0.04004416326
131	0.04003942653
